=================================================================
# Hyperparameter Tuning Run  --  2026-05-25 01:42:32.935485
# Sweep: alpha / gamma / softmax_lambda
# Reward shaping: locked to defaults
# Configs total: 10  |  To run: 10  |  Skipped (done): 0
# Training battles per config : 8000
# Eval battles per config     : 500
=================================================================

>>> Config 1/10: baseline

=================================================================
[baseline]  alpha=0.1  gamma=0.95  lambda=1.0
  reward shaping: locked to defaults {'k_d': 40.0, 'k_t': 30.0, 'KO_bonus': 20.0, 'faint_penalty': 20.0, 'status_bonus': 5.0, 'time_penalty': 0.1, 'w_hp': 1.0, 'w_alive': 8.0, 'w_type': 2.0}
=================================================================
  [TRAIN] Starting 8000 battles...
    [  100/8000]  win=85.0%  states=1752  t=22s
    [  200/8000]  win=88.0%  states=2853  t=35s
    [  300/8000]  win=86.0%  states=3630  t=44s
    [  400/8000]  win=86.0%  states=4269  t=55s
    [  500/8000]  win=85.0%  states=4740  t=66s
    [  600/8000]  win=85.7%  states=5119  t=76s
    [  700/8000]  win=86.3%  states=5446  t=84s
    [  800/8000]  win=86.3%  states=5722  t=96s
    [  900/8000]  win=86.1%  states=5976  t=116s
    [ 1000/8000]  win=86.2%  states=6210  t=135s
    [ 1100/8000]  win=85.3%  states=6458  t=144s
    [ 1200/8000]  win=85.6%  states=6638  t=154s
    [ 1300/8000]  win=85.7%  states=6833  t=164s
    [ 1400/8000]  win=85.1%  states=7028  t=173s
    [ 1500/8000]  win=85.1%  states=7168  t=183s
    [ 1600/8000]  win=85.2%  states=7288  t=193s
    [ 1700/8000]  win=85.5%  states=7391  t=208s
    [ 1800/8000]  win=85.6%  states=7494  t=221s
    [ 1900/8000]  win=85.9%  states=7575  t=232s
    [ 2000/8000]  win=85.6%  states=7669  t=241s
    [ 2100/8000]  win=85.5%  states=7766  t=254s
    [ 2200/8000]  win=85.7%  states=7853  t=266s
    [ 2300/8000]  win=85.8%  states=7946  t=284s
    [ 2400/8000]  win=86.1%  states=8056  t=300s
    [ 2500/8000]  win=85.9%  states=8129  t=316s
    [ 2600/8000]  win=85.9%  states=8188  t=331s
    [ 2700/8000]  win=85.9%  states=8264  t=348s
    [ 2800/8000]  win=86.2%  states=8312  t=364s
    [ 2900/8000]  win=86.3%  states=8366  t=380s
    [ 3000/8000]  win=86.3%  states=8436  t=396s
    [ 3100/8000]  win=86.3%  states=8489  t=412s
    [ 3200/8000]  win=86.3%  states=8550  t=422s
    [ 3300/8000]  win=86.4%  states=8595  t=434s
    [ 3400/8000]  win=86.4%  states=8651  t=445s
    [ 3500/8000]  win=86.4%  states=8710  t=456s
    [ 3600/8000]  win=86.5%  states=8755  t=467s
    [ 3700/8000]  win=86.5%  states=8800  t=481s
    [ 3800/8000]  win=86.6%  states=8830  t=497s
    [ 3900/8000]  win=86.7%  states=8880  t=509s
    [ 4000/8000]  win=86.6%  states=8917  t=519s
    [ 4100/8000]  win=86.5%  states=8952  t=532s
    [ 4200/8000]  win=86.5%  states=8989  t=543s
    [ 4300/8000]  win=86.7%  states=9023  t=553s
    [ 4400/8000]  win=86.6%  states=9042  t=566s
    [ 4500/8000]  win=86.6%  states=9066  t=581s
    [ 4600/8000]  win=86.7%  states=9085  t=592s
    [ 4700/8000]  win=86.7%  states=9122  t=601s
    [ 4800/8000]  win=86.6%  states=9144  t=614s
    [ 4900/8000]  win=86.6%  states=9182  t=625s
    [ 5000/8000]  win=86.6%  states=9203  t=636s
    [ 5100/8000]  win=86.6%  states=9229  t=647s
    [ 5200/8000]  win=86.5%  states=9258  t=661s
